ekg
-7.25
30.85
30.85
30.85
-31.29
-31.29
-31.29
-31.29
-31.29
-31.29
-31.29
⸮⸮⸮⸮3.05
18.91
40.46
32.82
48.81
-2.28
27.35
36.14
15
30
-46.8
-42.88
-21.75
-16
22.14
-11.95
39.61
75.18
92.02
135.24
94.81
19.08
-285.73
-276.35
268.77
372.68
96.64
-77.5
-143.54
-104.5
-85.39
-55.58
-53.29
-13.77
52.51
8.26
23.35
3.38
-2.72
58.81
6.38
35.19
68.43
55.26
82.29
35.02
42.61
30.79
-0.08
15.88
-52.72
-66.74
-96.2
-134.05
-109.59
-148.28
-116.65
-94.79
-75.29
-12.1
-31.6
9.78
11.38
7.2
56.08
11.01
43.53
33.91
-6.3
36.51
-4.02
3.97
2.56
-11.83
16.82
-17.84
21.91
20.9
7.15
42.15
-10.78
15.04
13.12
2.97
66.76
36.06
37.41
7.96
-19.68
12.96
-27.03
-7.24
-10.07
3.91
54.37
23.34
92.14
104.07
102.97
10.08
-376.07
-243.44
301.09
354.89
105.96
-58.34
-89.25
-89.02
-44.73
-1.01
-38.61
-1.48
-2.04
5.9
51.94
3.08
30.39
28.42
28.21
76.74
36.06
68.62
57.52
37.35
65.03
-11.34
1.98
5.04
-37.2
-58.87
-144.85
-131.86
-136.28
-133.79
-75
-110.53
-65.83
-45.92
-35.36
34.02
-3.68
21.09
34.12
13.89
30.78
-6.17
27.58
19.68
4.42
32.44
-13.59
17.01
3.02
-9.21
28.05
-38.91
-12.34
0
-8.9
42.62
1.4
17.2
13.19
-1.75
58.34
40.76
34.49
-9.68
-33.77
-6.13
-51
-21
-13.05
6.75
72.18
57.08
114.48
101.72
52.64
-108.55
-472.37
-188.78
415.32
302.51
-20.87
-60.62
-46.58
-59.54
-10.2
7.2
-30.98
18.09
6.46
12.05
56.78
6.13
34.68
30.42
24.47
65.11
25.45
59.03
65.43
63.41
82.4
13.98
16.09
-23.6
-66.03
-63.86
-140.44
-134.99
-148.81
-146.27
-85.19
-104.46
-51.3
-33.86
-32.73
14.4
-3.12
36.94
21.98
8.78
33.33
-19.86
18.22
13.57
4.99
43.58
-6.34
24.44
13.37
-18.75
5.75
-25.97
12.93
5.83
-4.38
30.85
-10.6
16.73
13.29
15.91
60.72
18.39
17.6
-28.19
-37.84
8.46
-38.36
-8.53
2.24
19.81
87.78
85.67
133.54
140.42
55.59
-224.43
-403.02
70.27
428.83
189.59
-49.5
-106.79
-68.18
-56
-36.28
3.1
-13.52
18.19
-4.72
4.31
50.67
4.87
35.93
29.88
23.93
58.33
28.79
76.53
53.08
28.04
62.96
10.92
24.86
-17.48
-84
-89.97
-146.77
-143.41
-163.51
-133.39
-79
-114.34
-36.44
-12.48
-14.73
25.58
-10.88
26.34
12.6
2.36
50.81
8.82
12.11
-7.67
-6.32
17.76
-21.37
16.49
-2.12
-6.37
21.71
-23.51
13.89
0.33
-4.48
24.81
-18.22
30.57
32.42
20.22
32.23
-7
63.51
63.4
14.26
-1.97
-43.64
11.25
-13.9
-26.06
27.52
1.57
60.61
80.5
93.96
159.35
123.42
-61.42
-360.98
-116.65
413.64
267.15
-60.49
-125.9
-113
-78.27
-70.4
-27.64
-32.16
-5.58
26.76
-9.79
36.61
10.62
12.6
54.05
3.67
57
56.53
40.03
80.82
44.04
62.18
36.19
3.16
-7.24
-80.95
-87.71
-128.54
-128.51
-118.66
-162.67
-76.49
-71.14
-70.85
-7.77
-30.13
6.95
2.83
13.04
34.54
-9.13
49.52
30.54
14.4
46.55
-12.43
15.46
10.81
